dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
2009,new,headline,100.0,100.0,0.0,,
2009,new,core,77.708,,,,
2009,new,food,13.738,13.7533,0.0153,,
2009,new,energy,8.553,8.5562,0.0032,,
2009,new,core_goods,21.276,21.2823,0.0063,,
2009,new,core_services,56.432,56.4082,-0.0238,,
2009,new,commodities,39.816,39.813,-0.003,,
2009,new,services,60.184,60.187,0.003,,
2009,new,food_home,7.801,7.8048,0.0038,,
2009,new,food_away,5.937,5.9485,0.0115,,
2009,new,energy_cmdty,4.801,4.8028,0.0018,,
2009,new,energy_svc,3.752,3.7533,0.0013,,
2009,new,rent_shelter,31.942,31.9474,0.0054,,
2009,new,svc_less_ros,28.243,28.2396,-0.0034,,
2010,new,headline,100.0,100.0,0.0,,
2010,new,core,77.179,,,,
2010,new,food,13.742,13.7308,-0.0112,,
2010,new,energy,9.079,9.0786,-0.0004,,
2010,new,core_goods,20.882,20.9118,0.0298,,
2010,new,core_services,56.297,56.2788,-0.0182,,
2010,new,commodities,40.012,40.0126,0.0006,,
2010,new,services,59.988,59.9874,-0.0006,,
2010,new,food_home,7.816,7.8115,-0.0045,,
2010,new,food_away,5.926,5.9193,-0.0067,,
2010,new,energy_cmdty,5.388,5.3875,-0.0005,,
2010,new,energy_svc,3.691,3.6911,0.0001,,
2010,new,rent_shelter,31.607,31.6104,0.0034,,
2010,new,svc_less_ros,28.382,28.377,-0.005,,
2011,new,headline,100.0,100.0,0.0,,
2011,new,core,76.013,,,,
2011,new,food,14.308,13.9634,-0.3446,,
2011,new,energy,9.679,9.6645,-0.0145,,
2011,new,core_goods,19.852,19.9919,0.1399,,
2011,new,core_services,56.161,56.3802,0.2192,,
2011,new,commodities,39.966,39.9642,-0.0018,,
2011,new,services,60.034,60.0358,0.0018,,
2011,new,food_home,8.638,8.4303,-0.2077,,
2011,new,food_away,5.669,5.5331,-0.1359,,
2011,new,energy_cmdty,5.806,5.7967,-0.0093,,
2011,new,energy_svc,3.873,3.8678,-0.0052,,
2011,new,rent_shelter,31.19,31.1811,-0.0089,,
2011,new,svc_less_ros,28.844,28.8547,0.0107,,
2012,new,headline,100.0,100.0,0.0,,
2012,new,core,76.127,,,,
2012,new,food,14.312,14.3239,0.0119,,
2012,new,energy,9.561,9.56,-0.001,,
2012,new,core_goods,19.574,19.5748,0.0008,,
2012,new,core_services,56.553,56.5412,-0.0118,,
2012,new,commodities,39.68,39.679,-0.001,,
2012,new,services,60.32,60.321,0.001,,
2012,new,food_home,8.598,8.606,0.008,,
2012,new,food_away,5.713,5.7179,0.0049,,
2012,new,energy_cmdty,5.795,5.794,-0.001,,
2012,new,energy_svc,3.767,3.766,-0.001,,
2012,new,rent_shelter,31.327,31.3503,0.0233,,
2012,new,svc_less_ros,28.993,28.9708,-0.0222,,
2013,new,headline,100.0,100.0,0.0,,
2013,new,core,77.063,,,,
2013,new,food,13.891,13.8965,0.0055,,
2013,new,energy,9.046,9.0442,-0.0018,,
2013,new,core_goods,19.71,19.7214,0.0114,,
2013,new,core_services,57.353,57.3378,-0.0152,,
2013,new,commodities,38.942,38.9458,0.0038,,
2013,new,services,61.058,61.0542,-0.0038,,
2013,new,food_home,8.187,8.1874,0.0004,,
2013,new,food_away,5.704,5.7091,0.0051,,
2013,new,energy_cmdty,5.34,5.3396,-0.0004,,
2013,new,energy_svc,3.705,3.7047,-0.0003,,
2013,new,rent_shelter,31.671,31.6624,-0.0086,,
2013,new,svc_less_ros,29.387,29.3917,0.0047,,
2014,new,headline,100.0,100.0,0.0,,
2014,new,core,77.713,,,,
2014,new,food,14.257,14.241,-0.016,,
2014,new,energy,8.03,8.0279,-0.0021,,
2014,new,core_goods,19.408,19.4196,0.0116,,
