dec_year,basis,weights,node,item,cpi_u,source
1995,new,,energy_cmdty,ENERGY COMMODITIES,3.264,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,energy_svc,(derived) Energy - Energy commodities,3.436,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,rent_shelter,RENT OF SHELTER,27.671,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,29.414,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1996,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,core,ALL ITEMS LESS FOOD AND ENERGY,77.038,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,food,FOOD,15.913,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,energy,ENERGY,7.049,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,23.364,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,core_services,SERVICES LESS ENERGY,53.674,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,commodities,COMMODITIES,42.873,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,services,SERVICES,57.127,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,food_home,FOOD AT HOME,10.04,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,food_away,FOOD AWAY FROM HOME,5.873,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,energy_cmdty,ENERGY COMMODITIES,3.596,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,energy_svc,(derived) Energy - Energy commodities,3.453,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,rent_shelter,RENT OF SHELTER,27.577,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1996,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,29.55,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
1997,new,,headline,All items,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,core,All items less food and energy,77.661,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,food,Food,15.326,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,energy,Energy,7.013,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,core_goods,Commodities less food and energy commodities,24.053,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,core_services,Services less energy services,53.608,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,commodities,Commodities,42.635,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,services,Services,57.365,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,food_home,Food at home,9.646,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,food_away,Food away from home,5.68,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,energy_cmdty,Energy commodities,3.256,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,energy_svc,(derived) Energy - Energy commodities,3.757,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,rent_shelter,Rent of shelter,29.41,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1997,new,,svc_less_ros,Services less rent of shelter,27.955,ri-archive-1990-1999/1990-1999_RI_archive/1997.txt
1998,new,,headline,All items,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,core,All items less food and energy,78.284,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,food,Food,15.422,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,energy,Energy,6.294,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,core_goods,Commodities less food and energy commodities,23.967,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,core_services,Services less energy services,54.316,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,commodities,Commodities,42.109,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,services,Services,57.891,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,food_home,Food at home,9.691,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,food_away,Food away from home,5.73,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,energy_cmdty,Energy commodities,2.72,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,energy_svc,(derived) Energy - Energy commodities,3.574,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,rent_shelter,Rent of shelter,29.912,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
1998,new,,svc_less_ros,Services less rent of shelter,27.979,ri-archive-1990-1999/1990-1999_RI_archive/1998.txt
